PortNumber,AccNumber,LocNumber,CountryCode,AreaCode,Latitude,Longitude,StreetAddress,OccupancyCode,ConstructionCode,NumberOfStoreys,YearBuilt,BuildingTIV,ContentsTIV,BITIV,LocName,LocGroup
1,SREIT-01,LOC001,SG,SG-01,1.2789,103.8536,Raffles Place,1100,5000,40,2010,250000,75000,50000,Office Tower A (CBD),Office
1,SREIT-01,LOC002,SG,SG-01,1.2830,103.8513,Marina Bay,1100,5000,35,2015,320000,96000,64000,Office Tower B (Marina),Office
1,SREIT-01,LOC003,SG,SG-02,1.3048,103.8318,Novena,1100,5000,22,2005,180000,54000,36000,Office Tower C (Novena),Office
1,SREIT-01,LOC004,SG,SG-03,1.3521,103.8198,Bukit Timah,1100,5000,12,2000,120000,36000,24000,Office Tower D (Bukit Timah),Office
1,SREIT-02,LOC005,SG,SG-01,1.3000,103.8456,Orchard Road,1200,5000,6,2012,200000,100000,40000,Retail Mall A (Orchard),Retail
1,SREIT-02,LOC006,SG,SG-04,1.3329,103.7436,Jurong East,1200,5000,4,2008,150000,75000,30000,Retail Mall B (Jurong),Retail
1,SREIT-02,LOC007,SG,SG-05,1.3496,103.9492,Tampines,1200,5000,5,2010,130000,65000,26000,Retail Mall C (Tampines),Retail
1,SREIT-02,LOC008,SG,SG-06,1.4382,103.7891,Woodlands,1200,5000,3,2015,100000,50000,20000,Retail Mall D (Woodlands),Retail
1,SREIT-03,LOC009,SG,SG-07,1.3187,103.6933,Tuas,1150,5000,2,2020,400000,200000,120000,Data Centre A (Tuas),DataCentre
1,SREIT-03,LOC010,SG,SG-04,1.3279,103.7367,Jurong West,1150,5000,2,2019,350000,175000,105000,Data Centre B (Jurong),DataCentre
1,SREIT-03,LOC011,SG,SG-08,1.3600,103.9886,Changi Business Park,1150,5000,3,2021,450000,225000,135000,Data Centre C (Changi),DataCentre
1,SREIT-04,LOC012,SG,SG-07,1.3100,103.7100,Tuas South,1300,3000,1,2016,80000,40000,16000,Logistics Hub A (Tuas),Logistics
1,SREIT-04,LOC013,SG,SG-09,1.3360,103.7000,Pioneer,1300,3000,1,2014,70000,35000,14000,Logistics Hub B (Pioneer),Logistics
1,SREIT-04,LOC014,SG,SG-10,1.3450,103.6800,Joo Koon,1300,3000,2,2018,90000,45000,18000,Logistics Hub C (Joo Koon),Logistics
1,SREIT-04,LOC015,SG,SG-05,1.3540,103.9380,Tampines Logistics,1300,3000,1,2013,65000,32500,13000,Logistics Hub D (Tampines),Logistics
1,SREIT-05,LOC016,SG,SG-11,1.4430,103.7860,Woodlands Industrial,1400,3000,3,2011,95000,47500,19000,Light Industrial A,Industrial
1,SREIT-05,LOC017,SG,SG-12,1.3700,103.8700,Ang Mo Kio,1400,3000,4,2009,110000,55000,22000,Light Industrial B,Industrial
1,SREIT-05,LOC018,SG,SG-13,1.3950,103.7450,Kranji,1400,3000,2,2017,75000,37500,15000,Light Industrial C,Industrial
1,SREIT-05,LOC019,SG,SG-14,1.3200,103.8950,Paya Lebar,1100,5000,18,2022,200000,60000,40000,Office Tower E (Paya Lebar),Office
1,SREIT-05,LOC020,SG,SG-01,1.2756,103.8460,Tanjong Pagar,1100,5000,30,2018,280000,84000,56000,Office Tower F (Tanjong Pagar),Office
